"abbr","country","topic","subtopic","topic_slug","subtopic_slug","sentence",value,"source_doc"
"BG","Bulgaria","Anti-corruption","Prevention","anti-corruption","prevention","The institutional framework has recently been consolidated.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Anti-corruption","Prevention","anti-corruption","prevention","The Internal Security Directorate investigates offences committed by officials of the Ministry of Interior and conducts integrity tests.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Anti-corruption","Prevention","anti-corruption","prevention","The Anti-corruption Commission verifies declarations of assets and interests by senior public office holders and ascertains conflicts of interest.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Anti-corruption","Prevention","anti-corruption","prevention","Recent legislative amendments enhanced the role and functions of the General Inspectorate and the inspectorates in the ministries.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Anti-corruption","Prevention","anti-corruption","prevention","Lobbying is not regulated in Bulgaria.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Anti-corruption","Prevention","anti-corruption","prevention","The anti-corruption law introduced measures to ensure whistleblower protection and encourage the reporting of corruption.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Anti-corruption","Represive measures","anti-corruption","represive-measures","The Anti-corruption Commission has faced a number of challenges since its establishment.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Anti-corruption","Represive measures","anti-corruption","represive-measures","The reforms are beginning to show first results but challenges remain.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Anti-corruption","Represive measures","anti-corruption","represive-measures","A solid track record of final convictions in high-level corruption cases remains to be established.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Anti-corruption","Represive measures","anti-corruption","represive-measures","In 2012, Bulgaria put in place a civil confiscation regime.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Justice","Efficiency","justice","efficiency","The lack of data regarding civil and commercial 1st and 2nd instance courts still hinders the monitoring of the efficiency of justice.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Justice","Independence","justice","independence","A reform concerning the accountability of the Prosecutor General and his or her deputies is ongoing.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Justice","Independence","justice","independence","Despite the progress made, the composition and functioning of the Supreme Judicial Council has been subject of further debate.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Justice","Independence","justice","independence","The level of perceived judicial independence in Bulgaria remains low.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Justice","Independence","justice","independence","The regime for additional remuneration and promotion of magistrates raises concerns.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Justice","Independence","justice","independence","Amendments to the Judicial System Act (JSA) have been put in place.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Justice","Independence","justice","independence","A motion for a reform of the Inspectorate to the Supreme Judicial Council has been proposed.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Justice","Quality","justice","quality","Access to justice requires improvement.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Justice","Quality","justice","quality","Financial and human resources raise concerns.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Media Pluralism","Journalists' Protection","media-pluralism","journalists-protection","Bulgarian law provides the main legal safeguards for the protection and activities of journalists and media.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Media Pluralism","Journalists' Protection","media-pluralism","journalists-protection","In February 2019, the Bulgarian Parliament passed amendments to the Personal Data Protection Act.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Media Pluralism","Journalists' Protection","media-pluralism","journalists-protection","Attacks on journalists are frequently reported.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Media Pluralism","Regulatory authorities","media-pluralism","regulatory-authorities","The regulator for audiovisual media services, the Council for Electronic Media, is vested with powers in compliance with the Radio and Television Act.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Media Pluralism","Regulatory authorities","media-pluralism","regulatory-authorities","As regards self-regulation, Bulgaria also has a media ethics committee.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Media Pluralism","Transparency of Media","media-pluralism","transparency-of-media","The independence of the CEM has been assessed as being at low risk.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Media Pluralism","Transparency of Media","media-pluralism","transparency-of-media","Lack of transparency of media ownership in Bulgaria is considered as a source of concern.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Media Pluralism","Transparency of Media","media-pluralism","transparency-of-media","State advertising reportedly plays an important role in the country’s media landscape, especially at local level.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Media Pluralism","Transparency of Media","media-pluralism","transparency-of-media","The legal framework against political interference in the media does not explicitly forbid politicians from owning outlets.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Media Pluralism","Transparency of Media","media-pluralism","transparency-of-media","During the Covid-19 pandemic, the Parliament tried to change the Criminal Code in order to criminalise disinformation.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Other Institutional Issues","Civil Society","other-institutional-issues","civil-society","The new draft rules on increased transparency of foreign funding for NGOs raise concerns.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Other Institutional Issues","Independent Authorities","other-institutional-issues","independent-authorities","The Ombudsman is now an A accredited body in accordance with the UN Global Alliance of National Human Rights Institutions (GANHRI)",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Other Institutional Issues","Preparing and enacting laws","other-institutional-issues","preparing-and-enacting-laws","The establishment of a post-monitoring mechanism is ongoing",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Other Institutional Issues","Preparing and enacting laws","other-institutional-issues","preparing-and-enacting-laws","The use of public consultation and impact assessment is limited.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Other Institutional Issues","Preparing and enacting laws","other-institutional-issues","preparing-and-enacting-laws","A state of emergency, followed by a new emergency regime, were used to face the COVID-19 pandemic.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"CY","Cyprus","Anti-corruption","Institutional Framework","anti-corruption","institutional-framework","Cyprus scores 58/100 in the 2019 Transparency International Corruption Perception Index and was ranked 12th in the EU and 41st globally.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Anti-corruption","Prevention","anti-corruption","prevention","The criminal anti-corruption legislation is broadly in place.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Anti-corruption","Prevention","anti-corruption","prevention","The implementation of the National Action plan against Corruption is ongoing.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Anti-corruption","Prevention","anti-corruption","prevention","The competences to prevent, investigate and prosecute corruption are shared among several authorities.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Anti-corruption","Prevention","anti-corruption","prevention","Whistle-blower protection is not yet provided for by law.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Anti-corruption","Prevention","anti-corruption","prevention","Lobbying is not regulated.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Anti-corruption","Prevention","anti-corruption","prevention","Conflicts of interests need attention.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Anti-corruption","Represive measures","anti-corruption","represive-measures","Asset disclosure rules are in place and sanctions for non-compliance are envisaged.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Justice","Efficiency","justice","efficiency","The justice system is experiencing serious efficiency challenges.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Justice","Efficiency","justice","efficiency","An action plan to address these efficiency challenges has been adopted and its implementation is ongoing, albeit with some delay.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Justice","Efficiency","justice","efficiency","The reforms provide for the establishment of new courts.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Justice","Efficiency","justice","efficiency","The clearance of backlogs of delayed cases, which have accumulated in the courts, is a pressing task in the reform process.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Justice","Efficiency","justice","efficiency","The review of the Civil Procedure Rule, which was expected to be completed by June 2020, is delayed until October this year.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Justice","Independence","justice","independence","Structural changes with regard to the organisation of Courts and the appointment of judges are under discussion.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Justice","Independence","justice","independence","The level of perceived judicial independence is average.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Justice","Independence","justice","independence","The appointment of the judges is subject to new detailed criteria.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Justice","Independence","justice","independence","A reform of the Law Office of the Republic is ongoing.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Justice","Quality","justice","quality","The justice system suffers from a nearly complete lack of digitalisation.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Justice","Quality","justice","quality","A law establishing a (lifelong) training school for judges has been adopted.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Media Pluralism","Journalists' Protection","media-pluralism","journalists-protection","Threats to the safety of journalists are very rare.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Media Pluralism","Regulatory authorities","media-pluralism","regulatory-authorities","The independence of the regulator for audio-visual media services, the Cyprus Radio-Television Authority, is legally guaranteed.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Media Pluralism","Regulatory authorities","media-pluralism","regulatory-authorities","This regulatory system establishes a legally independent authority with clearly defined powers and the authority is endowed with adequate financial resources.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
"CY","Cyprus","Media Pluralism","Regulatory authorities","media-pluralism","regulatory-authorities","Cyprus has an independent press council, the Media Complaints Commission.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0312&from=EN"
